name,rating,total_reviews,price,buyers
"Paper Plates, Compostable Heavy Duty Disposable 9 Inch Plates - Eco-Friendly, Biodegradable Sugarcane Bagasse, Natural Unbleached Brown 9"" Dinner Paper Plate Disposable (9inc-200Pack)",5.0,344,31,N/A
"ECO PRODUCTS Compostable Vanguard 9"" Paper Plates, Case of 500, Disposable White Molded Fiber, Round, Tree-Free, Stronger Than Paper & Styrofoam, No-Added PFAS, ASTM Compliant, BPI-Certified",N/A,N/A,85,N/A
ECO SOUL Pearl White 6 Inch Small Square 200 [2x100 Pc] Paper Plates (PFAS free) | 100% Compostable Disposable Bagasse I Heavy-Duty Eco-Friendly Dinner Plates I Biodegradable Sugarcane Eco Plates,4.4,11,20,N/A
"SOLO Bare Eco-Forward 9 Inch Plant-Based Sugarcane Fiber Round Plate, (4 Packs of 125, 500 Plates Total), Solo Cup Company Eco-Friendly Disposable Paper Plates Alternative",4.6,72,43,N/A
"300Pcs Compostable Paper Plates Set, Eco-friendly Heavy Duty Plates & Biodegradable Utensil Include Forks,Knives,Spoons, Napkins, Disposable Dinnerware Set for Party (Brown)",4.6,190,29,N/A
Palm Leaf Plates Bamboo Paper Plates Disposable 10 Inch & 7 Inch Bulk Party Pack Eco Compostable Biodegradable Wooden Plates Best Alternative To Plastic Paper Plates (20 pc),4.8,6,15,N/A
"ECO SOUL Compostable 6 Inch Small Palm Leaf Round Plates (400, 6"" Square Plates)",4.4,213,109,N/A
"ECO PRODUCTS Compostable 9"" Paper Plates, Case of 500, Disposable White Molded Fiber, Round, Tree-Free, Stronger Than Paper & Styrofoam, Renewable Molded Natural Fibers",4.4,33,75,N/A
"Dtocs Palm Leaf Plates 6 Inch Round (50) | Bamboo Plates Disposable Look Cocktail Plates for Appetizers, Dessert Plates, Mini Charcuterie Boards | Compostable Plates Alternate to Paper Plates 6 Inch",4.8,11,25,N/A
"Paper Plates - 8 Inch Biodegradable, Heavy Duty, Microwave Safe Square Disposable Plates, Soak & Cut Resistant, Eco-Friendly, 150-Pack",4.5,143,17,N/A
"Comfy Package [Case of 500] 9 Inch Paper Plates, 100% Compostable Plates Heavy-Duty - Kraft Biodegradable Plates, Disposable Sugarcane Paper Plates - Brown Unbleached",N/A,N/A,57,N/A
"Disposable 3 Compartment Paper Plates, 100% Compostable, 125 Count, Heavy Duty, Leakproof, Microwave Safe, 10 Inch, Off-White",5.0,1,25,N/A
"Square Palm Leaf Plates Set (Pack of 25) | Salad Plates | Ecofriendly Disposable Dinnerware | Heavy Duty Biodegradable Party Utensils for Wedding, Camping & More",4.6,689,11,N/A
"Paper Plates Disposable 9 Inch 100% Compostable Heavy Duty[125-Pack],Eco Biodegradable White Dinner & Lunch Plates,Family Birthday Party Holiday Plates,Made of Natural Sugarcane Fibers.",4.5,4,16,N/A
"ECO SOUL 100% Compostable, Disposable Bagasse Paper Plates | Heavy-Duty Eco-friendly Dinner Plates | Sturdy, Microwave & Oven Safe | Party, Wedding, Event Plates (20 Count, 9"" Round Plates)",5.0,1,9,N/A
"300PCS Compostable Paper Plates Set, Biodegradable Heavy Duty Disposable Sugarcane Plates Utensils Dinnerware for Party Camping Picnic",4.7,138,29,N/A
"Compostable Paper Plates 14 Inch: 100 Pack Heavy Duty Paper Plates, Natural Unbleached Sugarcane Bagasse Disposable Plates for Party, Wedding",5.0,100,31,N/A
"Sophistiplate Beautiful NEW Wavy Eco-Friendly Compostable Party Plates - Made of Bamboo Wood Fiber, and Sugarcane- biodegradable - 9.5 In, Sturdy & Heavy Duty - Pack of 8, Color Sky Blue",5.0,2,13,N/A
9 Inch Round Paper Plates - 100% Compostable - Heavy Duty - (125 pack) - Bagasse Plates - Fully Biodegradable - Environmental-Friendly - Sugarcane Pulp Material,4.0,1,12,N/A
"Dtocs 3 Compartment Plates (50 Pc) Palm Leaf Plates10 Inch Round Portion Control Plate | Bamboo Plates Disposable Like Sectional Plates Stronger than Divided Paper Plates, Buffet Styrofoam Plates",3.9,14,35,N/A
"100% Compostable 9 inch Paper Plates [150-Pack], Heavy-Duty Disposable, Eco-Friendly Party Plates, Biodegradable Dinner Plates, Natural Brown Sugarcane Bagasse Plates (150)",5.0,3,15,N/A
"Heavyweights Paper Plates, White",4.3,33,19,N/A
"100% Compostable Oval Paper Plates [50-Pack] - {PFAS-Free} - {BPI Certified} - [12 Inch] Heavy Duty, Eco-Friendly, Biodegradable Bagasse Platters - Natural Brown 12"" Oval Platter Plates by Stack Man",4.7,5983,20,6000
Vplus 150 Pack Compostable Disposable Paper Plates 10.25 inch Super Strong Paper Plates 100% Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates(white),4.7,1915,25,3000
"100% Compostable Disposable Paper Plates [125-Pack] - {PFAS-Free} - {BPI Certified} - [7 Inch] Heavy Duty, Eco-Friendly, Biodegradable Bagasse Dinner & Lunch Plates - Thick White 7"" Plate by Stack Man",4.5,1804,16,1000
"100% Compostable 10 Inch Heavy-Duty [125-Pack] Eco-Friendly Disposable White Bagasse Plate, Made of Natural Sugarcane Fibers - 10"" Biodegradable Paper Plates by Stack Man",N/A,N/A,26,2000
9 Inch Round Paper Plates - 100% Compostable - Heavy Duty - (125 pack) - Bagasse Plates - Fully Biodegradable - Environmental-Friendly - Sugarcane Pulp Material,4.0,1,12,N/A
"Heavyweights Paper Plates, White",4.3,33,19,N/A
"400PCS Compostable Paper Plates Set, Disposable Eco-friendly Dinnerware Set, Biodegradable Heavy-Duty Paper Plates, Utensils, Cups and Straws for Party Camping 50 (White)",4.7,117,39,N/A
"Talking Tables 8 x Safari Animal Themed Paper Plates for Girls & Boys Birthday or Baby Shower | Jungle Zoo, Madagascar Eco-Friendly Disposable Dishes for Kids Eco Choice",3.0,2,8,N/A
50-Pack 10” Square Palm Leaf Plates - Premium Eco-Friendly Disposable Dinnerware,4.6,26,33,N/A
"Efavormart 24 Pack | White 7"" Round Geometric Gold Rim Leaf Salad Paper Plates, Disposable Plates With Eucalyptus Print - 300 GSM",4.0,3,5,N/A
"6 Inch Disposable Bamboo Paper Plates - 125 Pack Heavy Duty, Biodegradable, Compostable Large Serving Plate for Dinner, Party - Bulk Pack with Microwavable, White",N/A,N/A,12,N/A
"Antimbee Disposable Plates 9 inch (130 Pack), Heavy Duty Paper Plates Bulk, Microwavable Renewable Bamboo Pulp Paper Plate for Home, Party, Wedding, Holiday Meal",4.5,10,9,N/A
"Disposable Paper Plates Set 250 Pcs, 100% Compostable Heavy Duty Paper Plate 7 Inch and 10 Inch, Includes Eco Forks, Knives and Spoons for 50 Guests",5.0,6,22,N/A
"Pumpkin Orange Round Disposable Dessert Paper Plates - 7'', 8 Pieces - Perfect for Parties, Weddings, Holidays & Events",4.4,948,6,N/A
Patra 50 pcs - 9 Inch square Palm Leaf Plates Disposable Eco Friendly Biodegradable Compostable Like Bamboo Plates - Superior to Paper and Plastic Plates (50 counts),4.2,15,29,N/A
125 Pack Compostable Disposable Paper Plates 9 Inch Heavy-Duty 100% Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates,4.5,91,20,N/A
"Sparkling Celebration ""80"" Round Prismatic Plates, 7"" (Pack of 8) - Black, Silver & Gold Birthday Party Plates, Perfect for Memorable Occasions & Events",4.4,161,6,N/A
"9 Inch Disposable Bamboo Paper Plates - 50 Pack Heavy Duty, Biodegradable, Compostable Large Serving Plate for Dinner, Party - Bulk Pack with Microwavable, White",N/A,N/A,12,N/A
"Dtocs Palm Leaf Plates 7x11 Inch Rectangle Plates (Pack 100) | Bamboo Trays Look Compostable Disposable Cookie Trays, Platters, Mini Charcuterie Boards | Alternate to Paper Plates",3.4,5,62,N/A
NYHI Heavy Duty Plates 7 Inch Disposable Plates For Adults Kids Brown Eco Friendly Sugarcane Paper Plates Are Cut Leak Resistant 125 Pack 7 INCH,4.7,78,19,N/A
"ECO PRODUCTS Disposable Square Sugarcane Plate, Eco-Friendly, Compostable, Grease and Cut Resistant, Microwave Safe, 10"" x 10"", Case of 250",4.3,54,85,N/A
"ECO PRODUCTS Compostable 6"" Paper Plates, Case of 1000, Disposable White Molded Fiber, Round, Tree-Free, Stronger Than Paper & Styrofoam, Renewable Molded Natural Fibers",4.3,17,76,N/A
100% Compostable 9 Inch Paper Plates [125-Pack] Disposable Party Plates I Heavy Duty Eco-Friendly Dinner Plates Disposable I Biodegradable Unbleached Sugarcane Eco Plates,4.8,21,14,N/A
"Disposable Palm Bamboo Plates Ecofriendly Heavy Duty (50 Pack, 8"" Square)",4.6,574,32,N/A
"Royal Blue Round Dessert Paper Plates - 6 7/8 in (Pack of 16) - Eco-Friendly & Disposable Tableware - Perfect for Celebrations, Weddings & Gatherings",4.0,55,6,N/A
"Amscan Floral Sweet Baby Girl Round Plates, 7"" (8-Pack) - Charming Party Tableware with Blossom Design, Perfect for Showers & Special Celebrations",4.2,7,3,N/A
"SOLO Bare Eco-Forward Sugarcane Dinnerware, Plate, 6.7"" Dia, Ivory, 125/pack",N/A,N/A,26,N/A
"Dtocs Palm Leaf Plates (50) Oval Plate Set | 10 Inch Large Oval Trays (25), 7"" Small Oval Plates (25) | Bamboo Plates Disposable Like Compostable Picnic Plates BBQ Platters Sturdy than Paper Plates",4.8,21,30,N/A
"SIMOND STORE - 7 Inch Compostable Square Plates - [Pack of 100] Heavy Duty Biodegradable Paper Plates - Made of Sugarcane Bagasse Fiber - Disposable Paper Plates for Party, BBQ, Wedding",N/A,N/A,15,N/A
"100% Compostable Natural Plant Fiber Plate, 6-Inch, 1000-Count Case",4.3,68,84,N/A
"Pack of 12 Colourful Star Paper Plates | Rainbow Party Supplies, Home Recyclable, Eco-Friendly, Unisex | Disposable Tableware for Kids Birthdays, Garden Picnic, BBQ, Crafting",3.5,10,6,N/A
"Hot Wheels Wild Racer Round Plates (9"", Pack of 8) - Vibrant Multicolor Paper Party Plates - Ideal for Kids Birthday or Hot Wheels Themed Celebrations",4.7,218,8,N/A
"Ecoplates [50 Pack] 9-Inch Paper Plates 100% Compostable - Made from Sugarcane Fiber-Biodegradable-Disposable-PFAS Free-Natural White-Heavy-Duty Bagasse Party Dinner Plate., ECO-P09-50",5.0,1,11,N/A
"Verde Planet - 12 inch Oval Bagasse Plates - Biodegradable, Tree Free Sugarcane Fiber, Ecofriendly, Disposable, Sturdy, White Premium Quality Plates - 125 Count",4.0,49,36,N/A
"Holiday Party Dinnerware Eco Set of 300 Eco-Friendly Dinnerware - 100 Disposable 8"" Square Palm Leaf Plates, 100 Wood Forks, 100 Wood Knives",4.7,447,62,N/A
"Dtocs Bamboo Plate Disposable Like 10"" Oval Palm Leaf Plates [50] - Compostable Trays, Serving Platters, Charcuterie Dinnerware Set for Wedding Parties | Elegant than Plastic, Paper Plates",4.7,9,31,N/A
"Juvale 48-Pack Kraft Gold Foil Dots 9 Inch Paper Party Plates for Lunch, Dessert, or Appetizer",3.6,16,10,N/A
"Efavormart 24 Pack | 9"" White Round Dinner Paper Plates, Disposable Plates with Geometric Eucalyptus and Gold Rim Design - 300 GSM",4.6,21,6,N/A
"TCC - Mini Individual Palm Leaf Condiment Cups, 2,5"" round, 100 pcs. Bamboo & Wood Style, Biodegradable, Single Use, Disposable, Usable for Hot Dishes",4.9,16,19,N/A
Palm Leaf Plates Bamboo Paper Plates Disposable 10 Inch & 6 Inch Bulk Party Pack Eco Compostable Biodegradable Wooden Plates Best Alternative To Plastic Paper Plates (20 pc),4.7,4,15,N/A
"Premium 9 Inch Round White Paper Plates [50-Pack] -100% Compostable & Eco-Friendly Disposable, Heavy Duty, PFAS-Free, Made of Sugarcane Bagasse (9"" Round Plates)",4.5,9,12,N/A
"6 Inch Disposable Bamboo Paper Plates - 60 Pack Heavy Duty, Biodegradable, Compostable Large Serving Plate for Dinner, Party - Bulk Pack with Microwavable, White",N/A,N/A,9,N/A
"Fun Express Classic Red & Blue Bandana Paper Dessert Plates - 7"" (Pack of 8) - Perfect for Parties & Events",5.0,4,3,N/A
Talking Tables Mermaid Themed Strong Disposable Paper Plates Recyclable Eco-Friendly Kids Birthday Party Tableware Decorations Under the Sea Celebrations or Baby Shower | 8-Pack,4.1,46,7,N/A
